,OBJECTID,response_id,response_date,q3_1_respondee_type_business_ow,q3_2_respondee_type_resident,q3_3_respondee_type_worker,q3_4_respondee_type_student,q3_5_respondee_type_visitor,q3_6_respondee_type_property_ow,q4_1_business_postcode,q4_2_business_type,q4_3_business_overview,q5_ATSI_business,q6_1_pre_covid_full_time_staff,q6_2_pre_covid_part_time_staff,q6_3_pre_covid_casual_staff,q6_4_pre_covid_contract_staff,q7_covid_impact_on_employment_l,q8_1_post_covid_full_time_staff,q8_2_post_covid_part_time_staff,q8_3_post_covid_casual_staff,q8_4_post_covid_contract_staff,q9_1_covid_impact_on_business_r,q9_2_covid_impact_on_business_i,q9_3_covid_impact_on_business_r,q9_4_covid_impact_on_business_i,q9_5_covid_impact_on_business_g,q9_6_covid_impact_on_business_d,q10_business_still_operating,q11_1_reason_for_business_closi,q11_2_reason_for_business_closi,q11_3_reason_for_business_closi,q11_4_reason_for_business_closi,q11_5_reason_for_business_closi,q11_6_reason_for_business_closi,q11_7_reason_for_business_closi,q11_8_reason_for_business_closi,q11_9_reason_for_business_closi,q11_10_reason_for_business_clos,q11_11_reason_for_business_clos,q11_12_reason_for_business_clos,q12_what_could_have_helped_busi,q13_how_long_can_business_remai,q14_1_change_made_to_business_e,q14_2_change_made_to_business_p,q14_3_change_made_to_business_d,q15_changes_made_to_business_ot,q16_collaborating_with_other_bu,q17_1_understanding_of_federal_,q17_2_understanding_of_state_go,q17_3_understanding_of_local_go,q18_not_seeking_support,q18_2_seeking_rent_relief_from_,q18_3_seeking_debt_relief_from_,q18_4_seeking_payroll_tax_relie,q18_5_seeking_jobkeeper_benefit,q18_6_seeking_tax_relief_from_f,q18_7_seeking_small_business_gr,q18_8_seeking_grant_support_fro,q18_9_seeking_unsecured_busines,q18_10_seeking_support_other,q19_1_undefined,q19_2_seeking_rent_relief_from_,q19_3_seeking_debt_relief_from_,q19_4_seeking_payroll_tax_relie,q19_5_seeking_jobkeeper_benefit,q19_6_seeking_tax_relief_from_f,q19_7_seeking_small_business_gr,q19_8_seeking_grant_support_fro,q19_9_seeking_unsecured_busines,q19_10_seeking_support_other_st,q20_1_potential_support_from_ci,q20_2_potential_support_from_ci,q20_3_potential_support_from_ci,q20_4_potential_support_from_ci,q20_5_potential_support_from_ci,q20_6_potential_support_from_ci,q20_7_potential_support_from_ci,q20_8_potential_support_from_ci,q20_9_potential_support_from_ci,q20_10_potential_support_from_c,q20_11_potential_support_from_c,q20_12_potential_support_from_c,q21_1_business_change_within_18,q21_2_business_change_within_18,q21_3_business_change_within_18,q21_4_business_change_within_18,q21_5_business_change_within_18,q21_6_business_change_within_18,q21_7_business_change_within_18,q21_8_business_change_within_18,q21_9_business_change_within_18,q21_10_business_change_within_1,q21_11_business_change_within_1,q21_12_business_change_within_1,q21_13_business_change_within_1,q21_14_business_change_within_1,q21_15_business_change_within_1,q22_business_viable_at_which_st,q23_sector_change_post_restrict,q29_covid_recovery_planning_add,q30_covid_recovery_planning_add,q31_1_covid_recovery_planning_a,q31_2_covid_recovery_planning_a,q31_3_covid_recovery_planning_a,q31_4_covid_recovery_planning_a,q31_5_covid_recovery_planning_a,q31_6_covid_recovery_planning_a,q31_7_covid_recovery_planning_a,q31_8_covid_recovery_planning_a,q31_9_covid_recovery_planning_a,q31_10_covid_recovery_planning_,q32_1_which_activities_would_yo,q32_2_which_activities_would_yo,q32_3_which_activities_would_yo,q32_4_which_activities_would_yo,q32_5_which_activities_would_yo,q32_6_which_activities_would_yo,q32_7_which_activities_would_yo,q32_8_which_activities_would_yo,q32_9_which_activities_would_yo,q32_10_which_activities_would_y,q32_11_which_activities_would_y,q32_12_which_activities_would_y,q32_13_which_activities_would_y,q32_14_which_activities_would_y,q32_15_which_activities_would_y,q32_16_which_activities_would_y,q32_17_which_activities_would_y,q32_18_which_activities_would_y,q32_19_which_activities_would_y,q33_1_are_there_any_positive_th,q33_2_are_there_any_positive_th,q33_3_are_there_any_positive_th,q33_4_are_there_any_positive_th,q33_5_are_there_any_positive_th,q33_6_are_there_any_positive_th,q33_7_are_there_any_positive_th,q34_1_how_soon_do_you_think_you,q34_2_how_soon_do_you_think_you,q34_3_how_soon_do_you_think_you,q34_4_how_soon_do_you_think_you,q34_5_how_soon_do_you_think_you,q34_6_how_soon_do_you_think_you,q34_7_how_soon_do_you_think_you,q34_8_how_soon_do_you_think_you,q34_9_how_soon_do_you_think_you,q34_10_how_soon_do_you_think_yo,q35_1_how_important_is_city_of_,q35_2_how_important_is_city_of_,q35_3_how_important_is_city_of_,q35_4_how_important_is_city_of_,q35_5_how_important_is_city_of_,q35_6_how_important_is_city_of_,q35_7_how_important_is_city_of_,q35_8_how_important_is_city_of_,q37_1_what_concerns_you_most_ab,q37_2_what_concerns_you_most_ab,q37_3_what_concerns_you_most_ab,q37_4_what_concerns_you_most_ab,q37_5_what_concerns_you_most_ab,q37_6_what_concerns_you_most_ab,q37_7_what_concerns_you_most_ab,q37_8_what_concerns_you_most_ab,q37_9_what_concerns_you_most_ab,q37_10_what_concerns_you_most_a,q37_11_what_concerns_you_most_a,q37_12_what_concerns_you_most_a,q37_13_what_concerns_you_most_a,q37_14_what_concerns_you_most_a,q37_15_what_concerns_you_most_a,q37_16_what_concerns_you_most_a,q37_17_what_concerns_you_most_a,q38_1_mostly_positive_changes,q38_2_mostly_negative_changes,q40_1_respondee_age_range,q40_2_respondee_identified_gend,q40_3_respondee_identify_as_a_p,q40_4_respondee_identify_as_abo,q41_respondee_home_postcode_sub,q42_respondee_current_place_of_,q43_respondee_current_place_of_,q44_respondee_speak_a_language_,q45_respondee_languages_spoken_,q48_final_comments,q4_1_2nd_business_postcode
349,350,150,18/05/2020,Yes,No,No,No,No,No,2000,Incorporated for-profit,Management Consultancy,No,9,1,1,0,Reduced casuals but no staffing impact otherwise as yet (reduced profitability though),9,1,0,0,Some,None / NA,Some,None / NA,None / NA,None / NA,Yes - full capacity,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,1-3 months,No,No,No,no_response,no_response,Mostly,Somewhat,Not at all,no_response,Not required,Not required,Not applied – not eligible,Applied – successful,Applied – successful,Not applied – not eligible,Not applied – not aware,Not required,no_response,no_response,"not offered, not requested or needed as yet",don't have debt,too small for payroll tax,no_response,no_response,no_response,"unaware, suspect won't qualify",don't want to take on debt with uncertain easing of lockdown (uncertain it can be paid back),no_response,No,No,No,No,Yes,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Not relevant,no_response,Yes,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
350,351,51,18/05/2020,Yes,Yes,Yes,No,No,No,2015,"Incorporated not-for-profit (charity, social enterprise)",develop and present arts and cultural programs for broad and diverse audiences,no_response,4,3,0,10,year-round core staff employment has remained the same due to JobKeeper but temporary/contract roles have reduced,4,3,,,High,None / NA,High,High,High,Some,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,Long term,No,Yes,Yes,#NAME?,#NAME?,Mostly,Mostly,Mostly,no_response,Applied - successful,Not required,Applied – awaiting outcome,Applied – successful,Applied – awaiting outcome,Applied – awaiting outcome,Applied – awaiting outcome,Not required,no_response,option-1,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,Yes,No,No,Yes,No,Yes,No,No,No,No,No,",",No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Stage 3: 100 people,#NAME?,Yes,"Worrying about the security of my job ,Social isolation and feeling lonely ,Worrying about people who are important to me,Not being able to do activities that are important to me,Wellbeing and mental health concerns,Stress from working from home",No,No,No,No,No,No,No,No,No,no_response,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,no_response,Yes,Yes,Yes,No,Yes,Yes,no_response,Immediately,Immediately,,,,,,Immediately,1-3 months,Immediately,Very important,Very important,Important,Very important,,Very important,Important,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,no_response,"- more flexible working and living arrangements

 - more kindness and value of social cohesion

 - more appreciation for arts and culture","- housing crisis and lack of affordable housing

 - mass unemployment

 - social disintegration if social services are not increased",40-49,Male,No,No,2011,Unit/apartment in a 4+ storey block,Renting,No,no_response,no_response,no_response
351,352,52,18/05/2020,Yes,No,No,No,No,No,2000,Incorporated for-profit,Software services,No,8,1,0,0,No impact,,,,,Low,Low,Low,Low,Low,None / NA,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,Long term,Not Applicable,Not Applicable,Not Applicable,We are all working from home.,no_response,Not Applicable,Not Applicable,Not Applicable,no_response,Not applied - not aware,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,option-1,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,Yes,Yes,No,No,No,Yes,No,No,No,No,No,no_response,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Not relevant,no_response,No,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
352,353,53,18/05/2020,Yes,No,No,No,No,No,2000,Sole trader,Custom Made suits and shirts,No,1,0,0,0,"I've reduced staff hours, but haven't let staff go",,,,,High,None / NA,High,None / NA,Some,None / NA,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,3-6 months,Yes,No,No,Working on building an E-commerce site,no_response,Mostly,Not at all,Not at all,no_response,Not applied - not eligible,Not required,Not applied – not aware,Applied – successful,Applied – successful,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,Not aware of this,Not aware of this,no_response,no_response,No,Yes,Yes,No,No,No,No,Yes,No,No,No,no_response,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Stage 3: 100 people,no_response,Yes,"Loss of income / employment,Worrying about the security of my job ,Wellbeing and mental health concerns",No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,Yes,No,Yes,Yes,Yes,no_response,1-3 months,1-3 months,,,,,,Immediately,Immediately,Immediately,Very important,Very important,Very important,Important,,Important,Important,,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,no_response,A bit of mixed bag,no_response,30-39,Female,No,No,2154,Separate house,Paying it off / mortgaged,Yes,Hindi,no_response,no_response
353,354,54,18/05/2020,Yes,No,Yes,No,No,No,2000,Incorporated for-profit,Market research & User Experience facilities.,No,8,0,14,0,Yes – I’ve let staff go,3,0,0,0,High,None / NA,High,None / NA,High,None / NA,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,1-3 months,Yes,Yes,Yes,Cut lots of costs.,no,Completely,Completely,Mostly,no_response,Other,Applied – unsuccessful,Applied – successful,Applied – successful,Applied – successful,Not applied – not eligible,Applied – awaiting outcome,Applied – awaiting outcome,no_response,no_response,we own the space - mortgaged to bank.,They said no.,no_response,no_response,no_response,not eligible.,no_response,no_response,no_response,No,No,No,Yes,No,No,No,No,No,No,No,"Stop the fear, lobby to lift restrictions. The curve is flat.",No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Not sure,Lower council rates,Yes,"Not being able to access important services such as doctors, physios, counselling etc ,Loss of income / employment,Worrying about the security of my job ,Social isolation and feeling lonely ,Worrying about people who are important to me,Not being able to do activities that are important to me,Wellbeing and mental health concerns,Stress from children being at home more,Stress from working from home,Concern about if our business will survive. No clear path to lift restrictions.",No,No,No,No,No,No,No,No,No,no_response,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,Playgrounds and parks with the kids,No,No,No,No,No,No,Less focus on fringe issues like gender fluidity and global warming panic,Immediately,Immediately,,,,,,Immediately,Immediately,Immediately,no_response,Not very important,Not very important,no_response,,Very important,Important,,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Too high council rates,"No positive at all, except maybe less focus on global warming scare.","Bankrupt lots of business - job losses. Push people apart. Mental health. Negative effect on kids with education closed, and family job losses. Relationship breakdowns.",40-49,Male,No,No,2021,"Semi-detached, terrace house, townhouse",Paying it off / mortgaged,No,no_response,no_response,no_response
354,355,55,18/05/2020,Yes,No,No,No,No,No,2017,Incorporated for-profit,Restaurant,No,1,5,0,0,Yes – I’ve let staff go,0,,,,High,None / NA,High,None / NA,High,Low,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,1-3 months,Yes,Yes,Yes,no_response,no_response,Completely,Completely,Not at all,no_response,Applied - successful,Applied – successful,Not applied – not aware,Not applied – not eligible,Not applied – not aware,Not applied – not aware,Not applied – not aware,Not applied – not eligible,Struggling to pay Utility bills. Getting behind on both electricity and gas bills,no_response,50% reduction given on a month to month basis,no_response,no_response,no_response,no_response,no_response,Not heard of this yet,no_response,no_response,Yes,No,No,No,No,No,No,No,No,Yes,No,Relief or some sort of assistance on utility bills,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Stage 3: 100 people,no_response,No,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
356,357,57,18/05/2020,Yes,No,No,No,No,No,2099,Incorporated for-profit,no_response,no_response,0,0,0,7,Yes – I’ve let staff go,0,0,0,4,High,None / NA,Low,High,High,None / NA,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,3-6 months,Not Applicable,Yes,Yes,"Currently awaiting state government advice on reopening timelines to make decisions on changes to business / organisation. Business depends to a great extent on human beings gathering, so unsure what that looks like for the forthcoming summer season, which is peak time for our events.",Yes - part of sector wide task force and multiple working groups.,Completely,Somewhat,Completely,no_response,Applied - successful,Not applied – not eligible,Not applied – not eligible,Not applied – not eligible,Not applied – not aware,Applied – unsuccessful,Applied – awaiting outcome,Other,Unsecured business loan - hesitant to take on debt at this time.,option-1,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,Yes,No,No,Yes,No,Yes,No,No,No,No,No,",",No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Stage 3: 100 people,"Stronger representation for the small to medium range of businesses within the sector. There's too much top down and advocacy from large organisations speaking for smaller and medium businesses without truly understanding the nuances. Would like to see federal, state and local government utilise original Australian music in their public spaces and properties where music is played, on their hold lines. Would like to see reform of the crippling costs on venues to be compliant. Liquor licenses, RSA costs, the costs of music licenses - these costs were crippling venues before covid-19, we must reform some outdated commercial models that are unsustainable for our venues.",Yes,"Loss of income / employment,Worrying about people who are important to me,Wellbeing and mental health concerns,Discrimination or vilification,Stress from children being at home more",No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,Yes,Yes,Yes,Yes,No,No,no_response,1-3 months,1-3 months,,,,,,4-6 months,1-3 months,no_response,Very important,Very important,Very important,Very important,,Important,Very important,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,no_response,"Hopefully there is a unification of the cultural sector, working together to ensure that the many, not the few can thrive. I'd like to see young people engaged much more in policy development. Its still way to top down. We are already starting to lose great young people in the cultural sector, we need to engage them and make sure they feel a part of the development of the future Sydney that is theirs to enjoy.","COVID-19 has reminded me of when the lockouts first hit Sydney in terms of organisations and individuals going into ""survival mode"" and advocacy happening in silos - there's a fragmentation of voices to government. Consultation needs to be deep and hitting all corners to truly represent the cultural sector.",40-49,Female,No,No,2099,Separate house,Other,No,no_response,"Thanks City of Sydney for being one of the first LGAs to support the cultural sector, and thank you Clover Moore for always having the cultural sector's back!",no_response
360,361,61,18/05/2020,Yes,No,No,No,No,No,2000,Unincorporated,Provide legal services,No,28,12,0,0,I have stood down two staff and reduce wages by 15%,28,12,,,High,None / NA,High,None / NA,Some,Some,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,3-6 months,Not Applicable,Not Applicable,Not Applicable,Some staff are working from. Some staff are changing start and end times. reduction in face to face meetings. Heavy reliance on video technology for witnessing documents,no_response,Completely,Completely,Somewhat,no_response,Applied - awaiting outcome,Not applied – not eligible,Applied – successful,Applied – successful,Applied – awaiting outcome,Not applied – not eligible,Not applied – not aware,Not applied – not eligible,no_response,no_response,no_response,no_response,no_response,no_response,no_response,too big,no_response,no_response,no_response,Yes,Yes,Yes,No,No,No,No,No,No,No,No,no_response,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Not sure,Not sure,No,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
361,362,62,18/05/2020,Yes,No,No,No,No,No,2007,Sole trader,"event display, printing and signage",No,1,0,0,0,"I've reduced staff hours, but haven't let staff go",,,,,High,None / NA,Low,Low,High,Some,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,6+ months,No,No,No,no,no,Mostly,Mostly,Mostly,no_response,Applied - unsuccessful,Applied – successful,Applied – awaiting outcome,Applied – successful,Not applied – not aware,Not applied – not eligible,Applied – awaiting outcome,Not required,no_response,no_response,The Landlord don't want to reduce or defer the rent payment.,no_response,no_response,no_response,I have no idea how to apply it.,no_response,no_response,no_response,no_response,Yes,Yes,Yes,No,No,No,No,No,No,No,No,no_response,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Not sure,no_response,No,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
362,363,63,18/05/2020,Yes,No,Yes,No,No,No,2000,Incorporated for-profit,Migration and education agency to Australia from overseas,No,1,0,0,0,"I've reduced staff hours, but haven't let staff go",,,,,High,High,High,High,High,Low,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,1-3 months,Yes,Not Applicable,Yes,"Due to fewer income, I have to change the market strategy or/and have to change my career",No,Somewhat,Somewhat,Somewhat,no_response,Applied - awaiting outcome,Not applied – not eligible,Not applied – not aware,Applied – successful,Applied – successful,Not applied – not aware,Not applied – not aware,Not applied – not aware,Not particular,option-1,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,No,Yes,Yes,No,No,No,No,Yes,No,No,No,no_response,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Not sure,no_response,No,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
363,364,64,18/05/2020,Yes,No,No,No,No,No,2000,Sole trader,FINANCIAL PLANNING ADVICE CONSULTANCY,No,1,0,0,0,SELF EMPLOYED,1,,,,Some,None / NA,Some,None / NA,None / NA,None / NA,Yes - full capacity,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,6+ months,No,No,No,RELYING ON ONLINE CONSULTANCY,NO,Completely,Mostly,Mostly,no_response,Applied - awaiting outcome,Not required,Not required,Applied – successful,Applied – awaiting outcome,Not applied – not aware,Applied – awaiting outcome,Not applied – not aware,no_response,no_response,LANDLORD UNWILLING TO DISCUSS,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,Yes,Yes,Yes,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Stage 1: 10 people,no_response,No,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
364,365,65,18/05/2020,Yes,No,No,No,No,No,2010,Incorporated for-profit,Sustainability policy,No,1,1,0,0,No impact,,,,,Some,None / NA,Low,Low,High,None / NA,Yes - full capacity,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,6+ months,Not Applicable,Yes,Yes,no_response,no_response,Somewhat,Not at all,Not at all,Yes,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,option-1,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,No,No,No,No,Yes,No,No,No,No,No,No,no_response,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Stage 3: 100 people,no_response,No,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
366,367,67,18/05/2020,Yes,No,No,No,No,No,2000,Incorporated for-profit,Pilates,No,2,0,0,30,Yes – I’ve let staff go,2,,,6,High,High,High,High,High,High,No - permanent closure,Yes,No,Yes,No,No,No,No,No,No,No,No,no_response,Government restrictions,no_response,Yes,Yes,Yes,Online,No,Somewhat,Not at all,Not at all,no_response,Applied - awaiting outcome,Applied – awaiting outcome,Applied – awaiting outcome,Applied – successful,Applied – awaiting outcome,Applied – successful,Applied – awaiting outcome,Applied – awaiting outcome,no_response,no_response,Landlord has not reconsider covid,2 months total,Paused,Only two employees,With account,Fingers crossed,no_response,no_response,no_response,Yes,No,Yes,No,No,No,No,Yes,No,No,No,no_response,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Stage 2: 20 people,Keep social distancing in place with excellent hygiene,Yes,"Not being able to access important services such as doctors, physios, counselling etc ,Loss of income / employment,Wellbeing and mental health concerns",No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,Yes,Yes,No,Yes,No,No,no_response,4-6 months,4-6 months,,,,,,1-3 months,1-3 months,1-3 months,Important,Important,Important,Important,,Important,Important,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,no_response,Friendliness,Fearfulness,40-49,Female,No,No,2075,Separate house,Renting,Yes,English,no_response,no_response
367,368,68,18/05/2020,Yes,No,No,No,No,No,2010,Incorporated for-profit,Research and business consultancy,No,2,0,0,0,Still 'working' but no active project work currently,2,,,,High,None / NA,High,None / NA,Low,None / NA,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,1-3 months,No,No,Yes,Working from home,no_response,Mostly,Mostly,Not at all,no_response,Applied - successful,Not required,Not required,Applied – successful,Applied – successful,Applied – awaiting outcome,Applied – awaiting outcome,Not required,no_response,option-1,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,Yes,No,Yes,Yes,No,No,No,No,No,No,No,no_response,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Not relevant,no_response,No,no_response,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,No,No,No,No,No,No,no_response,no_response,no_response,,,,,,no_response,no_response,no_response,no_response,no_response,no_response,no_response,,no_response,no_response,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response,no_response
369,370,70,18/05/2020,Yes,Yes,Yes,No,No,No,2011,Individual,I am a hair salon owner. I run my small business individually.,No,1,1,1,0,Yes – I’ve let staff go,1,,,,Some,None / NA,Some,None / NA,Some,Low,Yes - in a limited or changed way,No,No,No,No,No,No,No,No,No,No,No,no_response,no_response,3-6 months,Yes,Yes,Yes,I have had to close on days when I don’t have enough trade. I have closed off my parking to my clients. These are on top of the recommended extra steps the government have told salons they must do in order to trade.,I am trying to use more of the local businesses around me where I can,Mostly,Not at all,Not at all,no_response,Applied - successful,Not required,Not required,Applied – successful,Not applied – not aware,Not applied – not eligible,Not applied – not eligible,Not required,no_response,no_response,no_response,no_response,I don’t pay payroll tax,no_response,I don’t fall into this category,There isn’t one that really covered my business,no_response,no_response,no_response,Yes,Yes,No,No,No,Yes,No,No,No,No,No,no_response,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Not sure,Not sure,Yes,"Not being able to access important services such as doctors, physios, counselling etc ,Loss of income / employment,Worrying about the security of my job ,Social isolation and feeling lonely ,Worrying about people who are important to me,Not being able to do activities that are important to me,Physical health concerns,Wellbeing and mental health concerns",No,No,No,No,No,No,No,No,No,no_response,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,no_response,No,No,No,No,Yes,No,no_response,1-3 months,1-3 months,,,,,,4-6 months,no_response,no_response,Important,Important,Important,Important,,Somewhat important,Very important,,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,no_response,Hopefully some housing prices will go down and be more affordable,Loss of some businesses and looming recession,30-39,Female,No,No,2031,Unit/apartment in a 1-3 storey block,Renting,No,no_response,no_response,no_response
