Postcode,Suburb,Activity,YearsTrading,Aboriginal_TorresStrait,FullTime_Employees,PartTime_Employees,Casual_Employees,Impact_WFH,ComparisonTo_PreCovid,Forecast_12Months,HaveYouReduced_opening_hours,HaveYouReduced_employee_numbers,HaveYou_PermanentClosure_ShiftT,HaveYou_PermanentClosure_Shif_1,BusinessCapacity_FullOperationa,BusinessCapacity_IncreasedCapac,BusinessCapacity_other,EmployeeLocation,EmployeeLocationOther,DigitalServices_WebsiteChanges,DigitalServices_ECommerce_Onlin,DigitalServices_NewServices_Tel,DigitalServices_SocialMedia_Cam,DigitalServices_other,SupportRequired_NotSeeking,SupportRequired_FreeSkills_and_,SupportRequired_Communication_o,SupportRequired_Advocacy_forBus,SupportRequired_PrecinctMarketi,SupportRequired_PrecinctEvents_,SupportRequired_Education_on_Go,SupportRequired_waiving_Outdoor,SupportRequired_Government_Fees,SupportRequired_waiving_Governm,SupportRequired_business_suppor,SupportRequired_less_red_tape_a,SupportRequired_statutory_assis,SupportRequired_finding_employe,SupportRequired_other,AreasToStrengthen_12_18Months_s,AreasToStrengthen_12_18Months_1,AreasToStrengthen_12_18Months_c,AreasToStrengthen_12_18Months_2,AreasToStrengthen_12_18Months_a,AreasToStrengthen_12_18Months_e,AreasToStrengthen_12_18Months_d,AreasToStrengthen_12_18Months_m,AreasToStrengthen_12_18Months_p,AreasToStrengthen_12_18Months_3,AreasToStrengthen_12_18Months_4,AreasToStrengthen_12_18Months_5,AreasToStrengthen_12_18Months_b,AreasToStrengthen_12_18Months_6,AreasToStrengthen_12_18Months_r,AreasToStrengthen_12_18Months_o,PreferredFormat_BusinessEducati,PreferredFormat_BusinessEduca_1,FinancialComparison_to12Months_,FinancialComparisonForecast12Mo,AustralianEconomyForecast_12Mon,YourSustainabilityPractices_rec,YourSustainabilityPractices_gre,YourSustainabilityPractices_wat,YourSustainabilityPractices_Foo,YourSustainabilityPractices_net,YourSustainabilityPractices_non,YourSustainabilityPractices_tel,StrategiesToSupport_DiversityIn,StrategiesToSupport_Diversity_1,StrategiesToSupport_Diversity_2,StrategiesToSupport_Diversity_3,StrategiesToSupport_Diversity_4,StrategiesToSupport_Diversity_5,StrategiesToSupport_Diversity_6,StrategiesToSupport_Diversity_7,StrategiesToSupport_Aboriginal_,StrategiesToSupport_Aboriginal1,StrategiesToSupport_Aborigina_1,ContinuityPlan_Manage_FutureRis,industry_code,industry_description_cbi_sector,cbi_industry_sector,cbi_sub_sector,ObjectId
2000,Sydney,Arab Bank Australia,> 10,No,100,,,"We have managed it well. It is obvious that we see a negative impact on training, mentoring and on the  site collaberation",Remained the same,Decrease,Yes,Yes,,,,,Will look at ongoing restructure as a  result of WFH and ability to source staff from any location in Australia if requred.,Other (please describe),Head office team are on Hybrid. Branch staff are on full time in the office.,Improved/expanded,Improved/expanded,Improved/expanded,Improved/expanded,,,,,,,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,In-person events,,Better off,Better off,Worse off,Yes,,,,,,,Yes,Yes,Yes,Yes,,,,,Yes,,we support a number of institutions that have direct  programes to assist diversity.,Yes,6221,Banking,Finance and Financial Services,Finance Banking,11
2000,Barangaroo,Architect,> 10,No,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6921,Architectural Services,Creative Industries,Creative Business,12
2009,Pyrmont,Architect,> 10,No,,2,20,economy slowed. city is quiet,Decreased,Remain the same,,,,,Yes,,,Other (please describe),50/50 home and office,Improved/expanded,No change,Improved/expanded,No change,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.,Other (please describe),.,Worse off,Worse off,Worse off,,,,,,,,,,,,,,,,,,,,6921,Architectural Services,Creative Industries,Creative Business,13
2037,Glebe,Architect,> 10,No,2,1,,Not a major problem.,Remained the same,Remain the same,,,,,Yes,,,Business premises,,No change,No change,No change,No change,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,In-person events,,Better off,Worse off,Worse off,Yes,Yes,,,,,,,,,,,,Yes,,,No,,Yes,6921,Architectural Services,Creative Industries,Creative Business,14
2022,,Art Prints,< 1,No,1,,2,I think business is slowing down,Remained the same,Increase,,,,Yes,,,,Business premises,,New,New,,New,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,,1:1 mentoring,,Better off,Better off,Better off,,,,,,Yes,,,,,,,,Yes,,Yes,,I would like to donate portion of my sales to Aboriginal and Tores Strait Islander peoples and Reconciliation.,Don't know,4279E,"Art Gallery, Retailing",Creative Industries,Creative Retailing,15
2010,Surry Hills,Architect,> 10,No,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6921,Architectural Services,Creative Industries,Creative Business,16
2008,Chippendale,Architect,> 10,No,16,,,"We worked remotely during lockdown and now if 1) people are showing symptoms but still feel able to complete their duties, or 2) find it difficult to get to work due to transport strikes. Efficiency is 20-30% lower when working-from-home.",Decreased,Increase,,,,,Yes,,,Business premises,,No change,No change,Improved/expanded,No change,,,,,Yes,,,,,,,,,Yes,,,Yes,,Yes,,,,,,,,,,,,,,1:1 mentoring,,Worse off,Better off,Worse off,Yes,Yes,,,,,,,Yes,,,,Yes,,,,No,,Yes,6921,Architectural Services,Creative Industries,Creative Business,17
2000,Sydney,Architect,> 10,No,45,,,Working from Home   Disrupted project teams communication,Decreased,Increase,,Yes,,,,Yes,,Split between locations (hybrid),,Improved/expanded,Improved/expanded,Improved/expanded,Improved/expanded,,,,Yes,Yes,,,Yes,,,,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,,,1:1 mentoring,,Better off,Better off,Worse off,Yes,,Yes,Yes,Yes,,,Yes,Yes,,,,,,,Yes,,,Yes,6921,Architectural Services,Creative Industries,Creative Business,18
2000,Haymarket,Architect,6 to 10,No,24,,,"We find that for design oriented services where collaborative practices are involved, that working from home is very inefficient and impractical in most cases.",Remained the same,Remain the same,,,,,Yes,,,Split between locations (hybrid),,Improved/expanded,No change,No change,Improved/expanded,,Yes,,,,,,,,,,Yes,Yes,,,"We have a lot of contact with Local authorities and other Statutory bodies. Their continued practice of working remotely with applications, etc., via State Govt. Portals, is a disgrace....and should be investigated. Applications that used to take 4-6 months are taking up to 18 months.....and longer Happy to discuss and debate.  Applications",,,Yes,,,,,,Yes,,,Yes,,,,,In-person events,,Worse off,Better off,Better off,Yes,,,,,,We rent our premises and management/ utilisation of the above is out of our control,,Yes,,,,,,We are a small group. We do not have any specific strategy except that we would be open to all as appropriate when opportunities arise.,,No,,Yes,6921,Architectural Services,Creative Industries,Creative Business,19
2000,Sydney,Law Firm,> 10,No,17,12,8,Very little difference.,Remained the same,Remain the same,,,,,Yes,,,Business premises,,New,No change,No change,Improved/expanded,,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,Online webinars or live streaming,,Better off,Worse off,Better off,Yes,Yes,,,,,,Yes,Yes,Yes,,,,,,,No,,No,6931,Legal Services,Professional and Business Services,PBS - Legal Services,20
2000,Sydney,Architect,> 10,No,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6921,Architectural Services,Creative Industries,Creative Business,21
2015,Alexandria,Architect,1 to 5,No,10,5,4,N/A,Remained the same,Remain the same,,,,,Yes,,,Business premises,,Improved/expanded,Improved/expanded,Improved/expanded,Improved/expanded,,,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,In-person events,,Better off,Better off,Better off,,,Yes,,,,,,Yes,,,,,,,,No,,No,6921,Architectural Services,Creative Industries,Creative Business,22
2037,Glebe,Architect Heritage Consultant,1 to 5,No,0,1,1,Less effective working from home,Remained the same,Remain the same,,,,,Yes,,,Business premises,,No change,No change,No change,No change,,,Yes,,Yes,,,,,,,,,,,,,,,,Yes,,Yes,Yes,,,,,,,,,In-person events,,Worse off,Worse off,Better off,Yes,,,,,,,,,,,,,Yes,,,No,,No,6921,Architectural Services,Creative Industries,Creative Business,23
2000,Millers Point,Takeaway Shop,6 to 10,No,2,1,1,"very big impacts, we are only doing 35% of what we did before Covid",Significantly decreased (more than 50% decline),Increase > 50%,Yes,Yes,,,,,,Business premises,,No change,No change,No change,No change,,,,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,"need targeted support for CBD business and get people back to office, get a lot more people from overseas to tackle shortage of staff",,,,,Yes,,,,,Yes,,,Yes,,,,"Digital resources (checklist, guidelines, toolkits)",,Better off,Better off,Better off,Yes,,Yes,Yes,,,,,,,,,,Yes,,,No,,No,4512,Takeaway Food Services,Food and Drink,Food and Drink Specialised,24
2000,Sydney,Provision of Legal Services,> 10,No,180,60,0,"Some impact on productivity, some impact on collegiality and general happiness. KPIs have improved. Staff turnover and lack of skilled staff in the market have been an issue.",Remained the same,Remain the same,,,,,Yes,,Hybrid working model permitted,Split between locations (hybrid),,Improved/expanded,Improved/expanded,Improved/expanded,Improved/expanded,,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,,Yes,Yes,Yes,,Online webinars or live streaming,,Better off,Better off,Better off,Yes,,,,,,,Yes,,Yes,,,,,,,No,,Yes,6931,Legal Services,Professional and Business Services,PBS - Legal Services,25
2007,Ultimo,Cafe,1 to 5,No,2,3,2,"Significant drop in foot traffic. Forced to turn to online delivery to keep up but in turn suffer more losses (platform and merchant fees, delivery issues, unreasonable customer expectations etc)",Decreased,Decrease,Yes,Yes,,,,,,Business premises,,Improved/expanded,Improved/expanded,No change,Temporary,,,,Yes,,Yes,Yes,,,Yes,,,Yes,Yes,Yes,,,,Yes,,,,,Yes,,,,,,,,,Online webinars or live streaming,,Worse off,Worse off,Worse off,Yes,Yes,,,,,,,Yes,,,,,,,,No,,No,4511A,Cafes,Food and Drink,Food and Drink Cafes and Restaurants,26
2000,Sydney,Architects,> 10,No,4,,2,NIL,Decreased,Decrease,,Yes,,,,,,Business premises,,No change,No change,No change,No change,,Yes,,,,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,Yes,,,,1:1 mentoring,,,,,,,,,,,,,,,,,,,,,,,,6921,Architectural Services,Creative Industries,Creative Business,27
2000,Haymarket,Architecture,< 1,No,0,0,0,dsjfhds,Remained the same,Remain the same,Yes,,,,,,,Business premises,,New,Temporary,Improved/expanded,No change,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Online webinars or live streaming,,Better off,Better off,Better off,Yes,,,,,,,,,Yes,,,,,,,No,,Yes,6921,Architectural Services,Creative Industries,Creative Business,28
2000,Sydney,Hotel,> 10,No,196,13,169,No impact as we have been very flexible.,Significantly decreased (more than 50% decline),Increase,,Yes,,,Yes,,,Business premises,,Improved/expanded,No change,Improved/expanded,Improved/expanded,,,,,,,,,,,,,,,Yes,We are in dire need of staff in the industry.,,,,,,,,,,Yes,,,Yes,,,,In-person events,,Better off,Better off,Better off,Yes,Yes,,Yes,,,,Yes,Yes,,,,,,,Yes,,,Yes,4400A,Hotels,"Tourist, Cultural and Leisure",Accommodation,29
2037,Glebe,Architecture,< 1,No,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6921,Architectural Services,Creative Industries,Creative Business,30
2450,,Architest Commercial Retail Hospitality Design,> 10,No,2,,,Nil,Decreased,Increase,,Yes,Yes,,,,,Split between locations (hybrid),,Improved/expanded,No change,No change,New,,,,,,Yes,,,,,,Yes,,,,,,Yes,Yes,,,,,,Yes,,,,Yes,,,,Online webinars or live streaming,,Worse off,Better off,Worse off,Yes,,,,,,,,,,,,,Yes,,,No,,No,6921,Architectural Services,Creative Industries,Creative Business,31
2046,,Restaurant,6 to 10,No,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4511B,Restaurants,Food and Drink,Food and Drink Cafes and Restaurants,32
2010,Darlinghurst,Art Gallery,6 to 10,No,,4,,During lockdown we had to cancel/postpone exhibitions which resulted in loss of income and needing reschedule future exhbitions.,Remained the same,Remain the same,,,,,Yes,,,Split between locations (hybrid),,Improved/expanded,Improved/expanded,No change,Improved/expanded,,,,Yes,Yes,Yes,Yes,,,,,Yes,,,,,,Yes,,Yes,,Yes,,,,,,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Worse off,Worse off,Worse off,Yes,,,,,,,,,Yes,,,,,,,No,,No,4279E,"Art Gallery, Retailing",Creative Industries,Creative Retailing,33
2000,Sydney,Legal,> 10,No,200,,,Not very big,Increased,Increase,,,,,Yes,,,Split between locations (hybrid),,No change,No change,No change,No change,,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,In-person events,,Better off,Better off,Worse off,,,,,,Yes,,,Yes,,,,,,,Yes,,,Yes,6931,Legal Services,Professional and Business Services,PBS - Legal Services,34
2015,Alexandria,Artist Painter,1 to 5,No,0,0,0,Less opportunities to show my work in person,Remained the same,Remain the same,,,,,Yes,,,Fully remote,,Improved/expanded,Improved/expanded,Improved/expanded,Improved/expanded,,,,,,Yes,Yes,,,,,Yes,,,,,,Yes,Yes,,,Yes,,,,,,,,,,,In-person events,,Worse off,Better off,Better off,Yes,,,,,,,,,,,,,Yes,,Yes,,My artwork often focuses on the need for teparations and reconcilliation and touches on Indigenous issues,No,9002,"Creative Artists, Musicians, Writers and Performers",Creative Industries,Creative Culture,35
2000,The Rocks,Arts,6 to 10,No,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9002,"Creative Artists, Musicians, Writers and Performers",Creative Industries,Creative Culture,36
2000,The Rocks,Arts Festival,> 10,No,13,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9001,Performing Arts Operation,Creative Industries,Creative Recreation,37
2016,Redfern,Arts Support,> 10,No,1,,3,less work as arts has been in crisis and citizens arent attending concerts etc in person,Significantly decreased (more than 50% decline),Increase,Yes,Yes,,,,,,Split between locations (hybrid),,New,No change,Improved/expanded,Improved/expanded,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,,,,Yes,Yes,Yes,,,,Yes,,Yes,,Yes,Yes,Yes,Yes,,,Online webinars or live streaming,,Better off,Better off,Worse off,Yes,,,Yes,,,,,Yes,Yes,Yes,Yes,,,,,No,,No,9001,Performing Arts Operation,Creative Industries,Creative Recreation,38
2000,Barangaroo,Restaurant,6 to 10,No,6,6,2,"Our whole business depends on Workforce comes to CBD for work and they were our consistent patrons in Lunch and Dinner services, but not anymore. We have been trading but it is very tough to pay the bills and struggling to keep our doors open.  Haven't make any profit for last 2 years.",Decreased,Remain the same,,Yes,,,,,,Business premises,,Temporary,Improved/expanded,No change,Temporary,,,,,,Yes,Yes,,,,,Yes,Yes,,Yes,,Yes,Yes,,,,Yes,,,,,,,Yes,,,,In-person events,,Worse off,Better off,Better off,Yes,,,,,,,Yes,,,,,,,,,No,,Don't know,4511B,Restaurants,Food and Drink,Food and Drink Cafes and Restaurants,39
2000,Sydney,Cafe,< 1,No,2,2,,We have designed a custom in store experience so trying to focus on the physical,Remained the same,Increase,,,,,Yes,,,Business premises,,No change,No change,Improved/expanded,No change,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,Yes,,,,,,,In-person events,,Better off,Better off,Better off,Yes,,,,,,,,,,,,,Yes,,,No,,No,4511A,Cafes,Food and Drink,Food and Drink Cafes and Restaurants,40
2015,Alexandria,,1 to 5,No,5,,,dfdfd,Significantly decreased (more than 50% decline),Decrease > 50%,Yes,,,,,,,Business premises,,New,New,New,New,,,Yes,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Worse off,Better off,Better off,Yes,,,,,,,,,,Yes,,,,,Yes,,,Yes,ZZZZ,Not Surveyed,Other,Other - Other,41
2015,Alexandria,Assembly,> 10,Prefer not to say,0,,,none,Remained the same,Remain the same,,,,,,,same same,Other (please describe),,No change,No change,No change,No change,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nothing,Other (please describe),nothing,Better off,Better off,Worse off,,,,,,Yes,,,,,,,,Yes,,,No,,No,2599,Other Manufacturing n.e.c.,Manufacturing,Other Manufacturing,42
2000,Sydney,Association,> 10,No,10,5,,WFH has reduced our productivity,Remained the same,Increase,,,,,Yes,,,Business premises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9551,Business and Professional Association Services,Professional and Business Services,PBS - Interest Groups,43
2000,Barangaroo,Association,> 10,No,3,2,,"As a small association, WFH has little impact but in the broader context it has had a negative effect on recruiting in direct selling as the flexibility offered by employees competes with our USP",Remained the same,Remain the same,Yes,,,,,,,Split between locations (hybrid),,Improved/expanded,Improved/expanded,Improved/expanded,Improved/expanded,,,,Yes,Yes,,,Yes,,,,Yes,Yes,,,,,Yes,Yes,,,Yes,Yes,,,,,,,Yes,,,In-person events,,Worse off,Worse off,Worse off,Yes,,,,,,,Yes,Yes,,,,,,,,No,,Yes,9551,Business and Professional Association Services,Professional and Business Services,PBS - Interest Groups,44
2015,Alexandria,Automotive,> 10,No,42,3,0,Very little if any at all,Increased,Increase,,,,,Yes,,,Business premises,,No change,No change,No change,No change,,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,,1:1 mentoring,,Better off,Better off,Worse off,Yes,Yes,Yes,,,,,Yes,Yes,Yes,,,,,,,No,,Yes,9412,"Automotive Body, Paint and Interior Repair",Motor Vehicle,Motor Vehicle - Services,45
2033,,Back Office Support,< 1,No,,1,,No impact.,Remained the same,Remain the same,Yes,,,,,,,Fully remote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7291,Office Administrative Services,Professional and Business Services,PBS - Business Services,46
2000,Sydney,Legal Services,> 10,Prefer not to say,21,6,,"General disruption; covid has led to extended periods of isolation",Remained the same,Remain the same,,,,,Yes,,,Business premises,,Improved/expanded,No change,No change,No change,,,,Yes,,Yes,Yes,,,,,,,,,,,Yes,Yes,,Yes,,Yes,,,,,,,,,,In-person events,,Better off,Worse off,Worse off,Yes,,,,,,,Yes,Yes,Yes,,,,,,,No,,Yes,6931,Legal Services,Professional and Business Services,PBS - Legal Services,47
2011,Woolloomooloo,Hotel,> 10,No,2,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400A,Hotels,"Tourist, Cultural and Leisure",Accommodation,48
2000,Sydney,Take Away Cafe,> 10,No,4,,,The impact on my business has been disastrous and may cause me to close down if it continues.,Decreased,Remain the same,Yes,Yes,,,,,,Business premises,,No change,Temporary,No change,No change,,,,,Yes,,Yes,,,Yes,,Yes,,Yes,Yes,,,,Yes,,,,,Yes,Yes,,,,,,,,In-person events,,Worse off,Worse off,Worse off,Yes,Yes,,Yes,,,,,,,,,,Yes,,,No,,Yes,4511A,Cafes,Food and Drink,Food and Drink Cafes and Restaurants,49
2010,Surry Hills,Bakery,1 to 5,No,2,1,2,No employees has been working at home,Increased,Increase,,,,,Yes,,,Business premises,,No change,Improved/expanded,Improved/expanded,Improved/expanded,,,Yes,,,,,,,Yes,,Yes,,,Yes,,,Yes,,,Yes,,Yes,,,,,,,,,,1:1 mentoring,,Better off,Better off,Worse off,Yes,,,Yes,,,,Yes,,,,,,,,,No,,No,4129C,Bakers and Bread Shops,Food and Drink,Food and Drink Specialised,50
